Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 150 1360,U1360,Chilko,3,0.59,Thompson_N,2,0.15,Chilko_south,2,0.08,L_Adams,4,0.07,Middle,3,0.07
Hakai_P_A12 (15) unkn 150 1368,U1368,Scotch,2,0.89,Seymour,2,0.08,Eagle,2,0.03,,,,,,
Hakai_P_A12 (15) unkn 150 1370,U1370,Chilko,3,1.00,Chilko_south,2,0.00,Chilko-North,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 150 474,U474,Chilko,3,0.48,Middle,3,0.46,Porter_Cr,1,0.02,Kuzkwa_Cr,3,0.01,Hudson_Bay,1,0.01
Hakai_P_A12 (15) unkn 150 856,U856,L_Adams,4,0.98,U_Horsefly,3,0.02,,,,,,,,,
Hakai_P_A12 (15) unkn 150 880,U880,Scotch,2,0.79,L_Adams,4,0.09,Middle,3,0.09,Seymour,2,0.02,Eagle_L,4,0.01
Hakai_P_A12 (15) unkn 150 936,U936,Chilko,3,0.83,Porter_Cr,1,0.06,Gluskie,1,0.02,Chilko_south,2,0.02,Sandpoint,1,0.02
Hakai_P_A12 (15) unkn 150 937,U937,Birkenhead,3,0.66,Weaver,4,0.33,Middle,3,0.01,Chilko,3,0.00,,,
Hakai_P_A12 (15) unkn 150 938,U938,Chilko,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1008,U1008,Chilko,3,0.96,Middle,3,0.02,Kuzkwa_Cr,3,0.01,L_Adams,4,0.01,Chilko_south,2,0.01
Hakai_P_A12 (15) unkn 151 1009,U1009,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1010,U1010,Middle,3,0.37,Birkenhead,3,0.30,L_Adams,4,0.15,Scotch,2,0.07,Chilko,3,0.04
Hakai_P_A12 (15) unkn 151 1015,U1015,Chilko,3,0.96,Pitt,2,0.02,Chilko_south,2,0.01,Middle,3,0.01,Weaver,4,0.00
Hakai_P_A12 (15) unkn 151 1016,U1016,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1017,U1017,Pitt,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1022,U1022,Chilko,3,1.00,Chilko_south,2,0.00,McKinley,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 151 1031,U1031,Chilko,3,0.53,U_Horsefly,3,0.17,Middle,3,0.12,Chilko_south,2,0.05,L_Adams,4,0.05
Hakai_P_A12 (15) unkn 151 1032,U1032,Chilko,3,0.80,L_Adams,4,0.14,Middle,3,0.02,Thoms_Lake,20,0.01,Scotch,2,0.01
Hakai_P_A12 (15) unkn 151 1041,U1041,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1064,U1064,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 151 1076,U1076,Chilko,3,1.00,L_Adams,4,0.00,Chilko_south,2,0.00,,,,,,
Hakai_P_A12 (15) unkn 151 1077,U1077,L_Adams,4,0.79,Thompson_N,2,0.08,Chilko,3,0.08,U_Horsefly,3,0.02,L_Horsefly,3,0.01
Hakai_P_A12 (15) unkn 151 1078,U1078,Chilko,3,0.98,Chilko_south,2,0.02,L_Adams,4,0.00,Kynock,1,0.00,,,
Hakai_P_A12 (15) unkn 151 1079,U1079,Chilko,3,1.00,,,,,,,,,,,,
